attribute,level,raw_partworth_vs_baseline,zero_centered_partworth
Company_Bucket_10,ASUS,0.0,0.14450284056243748
Company_Bucket_10,Lenovo,-0.07071428571428731,0.07378855484815017
Company_Bucket_10,HP,-0.16792236064925972,-0.023419520086822243
Company_Bucket_10,DELL,-0.13689414011687048,0.007608700445566996
Company_Bucket_10,Acer,-0.3469834163317699,-0.2024805757693324
Price_Bucket,Budget,0.0,0.18380601051878595
Price_Bucket,Mid-range,-0.1745952201984107,0.00921079032037525
Price_Bucket,Premium,-0.37682281135794715,-0.1930168008391612
Processor_Tier,Entry,0.0,-0.2810678737879401
Processor_Tier,Mainstream,0.21334490040227547,-0.06772297338566466
Processor_Tier,Upper mainstream,0.2940018998573636,0.012934026069423454
Processor_Tier,Performance,0.4461161857775404,0.1650483119896003
Processor_Tier,Premium performance,0.6092927186394039,0.3282248448514638
Processor_Tier,Other,0.12365153805105732,-0.1574163357368828
RAM_Bucket,8 GB or less,0.0,-0.12756158122740066
RAM_Bucket,16 GB,0.12214530282090529,-0.005416278406495376
RAM_Bucket,24 GB or more,0.2605394408612967,0.13297785963389605
Storage_Bucket,256 GB or less,0.0,-0.15641238125429144
Storage_Bucket,512 GB,0.1745327121898882,0.018120330935596757
Storage_Bucket,1 TB or more,0.2947044315729861,0.13829205031869465
Warranty_Bucket,1 year,0.0,-0.10655747513254321
Warranty_Bucket,2 years,0.12497929019103034,0.018421815058487126
Warranty_Bucket,3+ years,0.19469313520659928,0.08813566007405607
