scope,attribute,level,zero_centered_partworth
Overall,Company,ASUS,0.1445028405624374
Overall,Company,Lenovo,0.0737885548481501
Overall,Company,HP,-0.0234195200868222
Overall,Company,DELL,0.0076087004455669
Overall,Company,Acer,-0.2024805757693324
Overall,Price,Budget,0.1838060105187859
Overall,Price,Mid-range,0.0092107903203752
Overall,Price,Premium,-0.1930168008391612
Overall,Processor,Entry,-0.2810678737879401
Overall,Processor,Mainstream,-0.0677229733856646
Overall,Processor,Upper mainstream,0.0129340260694234
Overall,Processor,Performance,0.1650483119896003
Overall,Processor,Premium performance,0.3282248448514638
Overall,Processor,Other,-0.1574163357368828
Overall,RAM,8 GB or less,-0.1275615812274006
Overall,RAM,16 GB,-0.0054162784064953
Overall,RAM,24 GB or more,0.132977859633896
Overall,Storage,256 GB or less,-0.1564123812542914
Overall,Storage,512 GB,0.0181203309355967
Overall,Storage,1 TB or more,0.1382920503186946
Overall,Warranty,1 year,-0.1065574751325432
Overall,Warranty,2 years,0.0184218150584871
Overall,Warranty,3+ years,0.088135660074056
ASUS,Price,Budget,0.12708427746585207
ASUS,Price,Mid-range,0.04049898749089108
ASUS,Price,Premium,-0.1675832649567431
ASUS,Processor,Entry,-0.2933495145522278
ASUS,Processor,Mainstream,-0.09138247727190538
ASUS,Processor,Upper mainstream,-0.05894568334530759
ASUS,Processor,Performance,0.10125576860880581
ASUS,Processor,Premium performance,0.4154643438646908
ASUS,Processor,Other,-0.07304243730405588
ASUS,RAM,8 GB or less,-0.14492462460122332
ASUS,RAM,16 GB,0.020448426178711537
ASUS,RAM,24 GB or more,0.12447619842251176
ASUS,Storage,256 GB or less,-0.15977971060277754
ASUS,Storage,512 GB,0.02382199499001958
ASUS,Storage,1 TB or more,0.13595771561275802
ASUS,Warranty,1 year,-0.07586962689354733
ASUS,Warranty,2 years,0.016321939458423765
ASUS,Warranty,3+ years,0.05954768743512355
Acer,Price,Budget,0.18615958907575078
Acer,Price,Mid-range,0.00504944870567281
Acer,Price,Premium,-0.19120903778142354
Acer,Processor,Entry,-0.3566277659938805
Acer,Processor,Mainstream,-0.1093132144602394
Acer,Processor,Upper mainstream,-0.0721448552724882
Acer,Processor,Performance,0.3052500165947694
Acer,Processor,Premium performance,0.45730078489077924
Acer,Processor,Other,-0.2244649657589408
Acer,RAM,8 GB or less,-0.15297513460869264
Acer,RAM,16 GB,-0.0022410105425903493
Acer,RAM,24 GB or more,0.15521614515128299
Acer,Storage,256 GB or less,-0.12075489285507772
Acer,Storage,512 GB,0.04664252375962667
Acer,Storage,1 TB or more,0.074112369095451
Acer,Warranty,1 year,-0.0988704366640031
Acer,Warranty,2 years,0.02121064377581877
Acer,Warranty,3+ years,0.07765979288818432
DELL,Price,Budget,0.19509800777318595
DELL,Price,Mid-range,0.026423809309908702
DELL,Price,Premium,-0.22152181708309457
DELL,Processor,Entry,-0.25932849011655623
DELL,Processor,Mainstream,-0.07088544954859693
DELL,Processor,Upper mainstream,0.0480887431864957
DELL,Processor,Performance,0.2397753068592975
DELL,Processor,Premium performance,0.25166047824428206
DELL,Processor,Other,-0.20931058862492197
DELL,RAM,8 GB or less,-0.11389635395394283
DELL,RAM,16 GB,-0.03910096196661646
DELL,RAM,24 GB or more,0.15299731592055932
DELL,Storage,256 GB or less,-0.1933465008605024
DELL,Storage,512 GB,0.005933218455224543
DELL,Storage,1 TB or more,0.1874132824052778
DELL,Warranty,1 year,-0.10477020936901675
DELL,Warranty,2 years,-0.03484699293371517
DELL,Warranty,3+ years,0.13961720230273195
HP,Price,Budget,0.19458389429862102
HP,Price,Mid-range,0.026868266857862505
HP,Price,Premium,-0.2214521611564835
HP,Processor,Entry,-0.21515572108384284
HP,Processor,Mainstream,-0.07969779585450859
HP,Processor,Upper mainstream,0.1221284489998603
HP,Processor,Performance,0.0993699699327108
HP,Processor,Premium performance,0.21066081313772794
HP,Processor,Other,-0.13730571513194778
HP,RAM,8 GB or less,-0.0742919855213069
HP,RAM,16 GB,0.002184480551188542
HP,RAM,24 GB or more,0.07210750497011835
HP,Storage,256 GB or less,-0.17814008454150687
HP,Storage,512 GB,0.03105293635762102
HP,Storage,1 TB or more,0.14708714818388585
HP,Warranty,1 year,-0.11111011620214195
HP,Warranty,2 years,0.06766617086337712
HP,Warranty,3+ years,0.04344394533876483
Lenovo,Price,Budget,0.1940853092309287
Lenovo,Price,Mid-range,-0.008701157264659976
Lenovo,Price,Premium,-0.18538415196626878
Lenovo,Processor,Entry,-0.25263671080990624
Lenovo,Processor,Mainstream,-0.0013744807318991081
Lenovo,Processor,Upper mainstream,0.009099752828807428
Lenovo,Processor,Performance,0.13759404675366527
Lenovo,Processor,Premium performance,0.28806207366971204
Lenovo,Processor,Other,-0.1807446817103795
Lenovo,RAM,8 GB or less,-0.1859073747479717
Lenovo,RAM,16 GB,0.022484157824651158
Lenovo,RAM,24 GB or more,0.1634232169233205
Lenovo,Storage,256 GB or less,-0.13184337823546544
Lenovo,Storage,512 GB,-0.0013400071799017366
Lenovo,Storage,1 TB or more,0.13318338541536717
Lenovo,Warranty,1 year,-0.11611083666628756
Lenovo,Warranty,2 years,0.02238537539375647
Lenovo,Warranty,3+ years,0.09372546127253108
